Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GerarToken ,170,2517,2370,4082,5840,6617,647,8085,0.000%,20.35197,10.33,8.23
LogarUsuario,170,26416,25468,56365,58569,59612,424,60271,5.294%,2.72978,4.76,1.76
GetCarrinhoItens,510,2041,920,5550,8488,18555,140,37254,0.196%,5.94475,2.41,3.56
BuscarDadosUsuario,340,3636,845,9537,17982,34508,143,34661,5.294%,4.25745,3.88,2.34
GetQtdTitulosUsuario,510,1468,646,4373,5660,8836,137,12931,5.294%,6.45987,2.02,3.57
BuscarTitulosAgrupadosPorSerie,340,1773,595,4018,7881,18559,143,19064,5.588%,4.65390,2.97,2.93
GetTitulosNovos,340,2046,802,7254,8878,9820,153,9960,5.294%,4.87064,32.60,2.82
VerificarPremioTitulo,170,2610,1113,6151,8399,11354,143,21729,6.471%,3.37569,5.80,2.03
ObterTitulosUsuarioPorSerie,170,375,185,812,1035,2942,144,2967,5.294%,3.71617,9.40,2.38
ObterResultadosTituloUsuario,170,291,187,714,893,1092,140,1098,5.294%,3.71747,3.73,2.26
Test,170,57658,51411,85524,86063,86662,40867,87148,7.647%,1.94395,50.82,19.19
TOTAL,3060,6406,900,18556,47997,75423,137,87148,4.379%,34.98982,101.63,38.38
