GerarToken ,170,17932,15550,31927,34402,37022,595,37121,0.000%,4.47981,4.81,1.81
LogarUsuario,170,1515,1203,3029,3372,5054,694,5998,0.000%,4.44758,4.00,2.87
GetCarrinhoItens,510,548,291,949,1843,3699,172,4649,0.000%,11.17147,10.53,6.70
BuscarDadosUsuario,340,557,288,897,2666,4475,178,4613,0.000%,7.71115,11.89,4.25
GetQtdTitulosUsuario,510,634,327,1035,2007,4601,172,6744,0.000%,11.56830,10.50,6.39
BuscarTitulosAgrupadosPorSerie,340,653,319,1024,2277,6674,203,6747,0.000%,7.91250,9.24,4.98
GetTitulosNovos,340,626,359,1074,2005,4467,194,6852,0.000%,7.89779,51.21,4.57
VerificarPremioTitulo,170,736,414,1095,2445,6613,198,6744,0.588%,4.19504,8.68,2.52
ObterTitulosUsuarioPorSerie,170,464,283,681,772,3282,180,3293,0.000%,4.07693,10.70,2.61
ObterResultadosTituloUsuario,170,389,251,674,747,971,154,3258,0.588%,4.08153,5.92,2.48
Test,170,28260,22904,47351,47799,48841,8580,49138,0.588%,3.39240,108.73,33.48
TOTAL,3060,3140,378,7393,21886,41034,154,49138,0.098%,61.06200,217.45,66.97
