azurewebsites.net/,170,70992,106713,113844,114220,115686,9611,116032,0.000%,1.45680,2398.91,4.11
/GerarToken ,170,10738,11623,17524,18259,19333,593,19594,0.000%,7.30115,7.83,2.42
/api/Usuario/LogarUsuario,170,6789,5504,14357,14936,16570,284,20260,0.000%,4.70159,4.23,3.04
/api/Produto/PesquisarProdutosDisponiveis,170,468,556,648,1006,1584,136,2641,0.000%,4.57321,20.35,1.81
/api/Carrinho/GetCarrinhoItens,680,553,324,806,1344,3556,174,6221,0.000%,13.99321,20.90,8.39
/api/Config/Config,170,223,154,582,605,747,138,1157,0.000%,4.28158,2.80,2.17
/api/Carrinho/AdicionarItemCarrinho,340,672,405,1119,2037,4453,232,4590,0.000%,8.37831,21.87,5.83
/api/Usuario/GetQtdTitulosUsuario,510,441,287,751,1059,2826,180,3936,0.000%,10.44825,13.28,5.45
/api/Carrinho/GetStatusCarrinho,170,654,408,890,1780,4234,187,4480,0.000%,4.20178,8.37,2.18
/api/Usuario/BuscarDadosUsuario,340,502,309,742,1081,4333,183,4519,0.000%,7.42066,15.60,3.86
/api/Pagamento/ObterFormasPagamentoDisponiveis,170,736,449,1365,2237,4524,228,4709,0.000%,4.16146,36.73,2.66
CEP,170,1155,974,1774,2558,3085,681,3934,0.000%,4.11852,10.26,4.63
/api/Pagamento/PagarCarrinho (1 acesso),170,5406,4752,7843,13247,15849,1674,18072,3.529%,4.03455,5.51,4.69
/api/Pagamento/GetDoacao,170,339,292,466,683,827,191,1278,3.529%,4.34616,5.40,2.67
/api/Pagamento/SetDoacao,170,500,319,878,1090,1917,211,3373,0.000%,4.28039,3.96,2.62
/api/Usuario/BuscarTitulosAgrupadosPorSerie,170,517,366,812,878,1287,206,3812,0.000%,4.28093,4.44,2.69
/api/Usuario/GetTitulosNovos,170,501,360,803,1026,1455,192,3361,0.000%,4.27673,30.19,2.47
Test,170,104914,132266,155277,157173,159923,24131,161473,3.529%,1.04760,1778.76,17.78
TOTAL,4250,8393,441,13932,63605,146801,136,161473,0.424%,26.18946,3557.42,35.57
