/GerarToken ,170,38354,28362,146312,146634,146899,586,146933,0.000%,1.15671,1.23,0.38
https://lottocap-hml-server01-front.azurewebsites.net/,170,13794,13597,17524,18542,22699,1647,23268,0.000%,1.06727,2842.53,3.50
PesquisarProdutosDisponiveis,169,1060,624,2144,2301,2964,550,4571,0.000%,1.10869,4.93,0.44
Carrinho/GetCarrinhoItens,169,3525,671,19686,21177,21643,201,21860,0.000%,1.11061,1.02,0.67
Config,169,662,232,1800,2243,3007,140,4380,0.000%,1.10802,0.72,0.56
BuscarDezenas,338,22008,24054,37724,39293,44397,909,44417,35.503%,1.96213,31.84,1.19
AdicionarItemCarrinhoPreVenda,169,22926,26498,32449,35563,40070,1846,42822,8.284%,.98217,1.91,0.68
GetCarrinhoItens,169,1780,1306,2376,3061,14299,632,14413,0.000%,.98901,1.92,0.59
Test,169,126226,132168,177283,183791,187193,16782,187396,69.231%,.89978,2449.64,6.87
TOTAL,1692,25235,11073,73235,145952,177283,140,187396,14.835%,9.00723,4898.69,13.75
