front.azurewebsites.net,170,71907,108939,113882,114557,115175,550,117121,4.706%,1.44290,2470.06,5.27
GerarToken ,168,10224,10517,14138,15423,28530,587,59856,0.000%,1.47346,1.58,0.60
PesquisarProdutosDisponiveis,168,1729,883,4069,7199,9575,169,11334,0.000%,1.40344,7.23,0.79
GetCarrinhoItens,669,775,255,2527,3418,6248,170,8964,0.000%,5.27927,4.94,3.17
Config,168,388,203,642,884,2705,137,3987,0.000%,1.45702,0.95,0.78
LogarUsuario,168,2903,756,3335,4476,6367,269,287524,0.595%,.58430,0.54,0.37
GetQtdTitulosUsuario,501,719,254,1527,3274,4646,170,7708,0.000%,15.46535,14.04,8.55
BuscarDadosUsuario,334,604,258,1070,3234,3708,174,4841,0.000%,11.43287,17.63,6.30
BuscarTitulosAgrupadosPorSerie,167,645,257,1451,3241,3784,208,3939,0.000%,5.97752,6.98,3.76
GetTitulosNovos,167,562,262,941,1768,3672,185,3687,0.000%,5.97538,39.18,3.45
Test,167,94349,124417,136703,138309,139379,16707,140396,4.192%,1.15481,2041.11,14.11
TOTAL,2847,11178,551,22622,112464,135517,137,287524,0.562%,9.13349,1894.02,13.10
