GerarToken ,170,14990,10187,37077,37460,37742,582,37789,0.000%,4.48833,4.82,1.81
LogarUsuario,170,28099,27998,58791,59019,59107,374,59204,38.824%,1.76501,1.68,1.14
BuscarDezenas,680,30325,31742,48678,51159,55861,1606,58047,49.559%,2.68821,33.97,1.63
AdicionarItemCarrinhoPreVenda,340,20589,19228,35300,37597,40006,671,40792,0.294%,1.22836,3.87,0.85
GetCarrinhoItens,340,1814,1481,2720,5341,8441,225,8737,0.000%,1.31053,4.13,0.79
GetStatusCarrinho,680,1466,1251,2455,3004,5656,179,40295,0.000%,2.56498,5.77,1.41
ObterFormasPagamentoDisponiveis,680,2876,2659,5102,5826,10445,264,31379,0.000%,2.56615,23.39,1.64
PesquisarProdutosDisponiveis,170,1131,866,1504,1789,8308,192,24045,0.000%,.67224,3.85,0.38
AdicionarItemCarrinho,340,2395,1847,5065,5429,6718,233,7348,0.000%,1.34830,5.01,0.94
ExibirDezenas/idCarrinhoItem,170,1637,1531,2470,3305,5599,197,8347,0.000%,.71333,1.85,0.39
Test,170,234131,237343,284272,285144,304629,108645,316342,92.941%,.53636,67.80,7.14
TOTAL,3910,20359,2900,37252,57764,278440,179,316342,14.373%,12.33586,135.59,14.29
