Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,170,2841,1482,2091,14211,25668,910,25789,0.000%,6.51616,3.31,2.63
LogarUsuario,170,21059,23718,39719,39753,39776,146,39781,0.588%,4.26503,2.01,2.75
GetCarrinhoItens,510,1225,245,1575,2086,17779,140,23713,0.000%,10.86169,3.83,6.51
BuscarDadosUsuario,340,614,202,644,3981,4005,140,17659,0.588%,7.33581,6.95,4.04
GetQtdTitulosUsuario,510,305,190,645,659,1498,139,4002,0.588%,15.19033,4.83,8.40
BuscarTitulosAgrupadosPorSerie,340,366,214,694,1220,1513,141,1619,0.588%,10.46798,6.03,6.58
GetTitulosNovos,340,448,335,779,878,1326,143,1559,0.588%,10.46283,95.14,6.05
VerificarPremioTitulo,170,266,235,337,436,952,146,1126,0.588%,5.43409,7.65,3.26
ObterTitulosUsuarioPorSerie,170,263,215,434,601,805,141,927,0.588%,5.42490,21.05,3.47
ObterResultadosTituloUsuario,170,239,170,556,599,807,137,968,0.588%,5.43062,6.88,3.30
Test,170,32123,29660,47982,48339,48781,17263,48852,0.588%,3.45143,106.23,34.07
TOTAL,3060,3569,253,14262,28776,47581,137,48852,0.458%,62.12441,212.45,68.13
