Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,270,9166,7599,21051,27390,28076,552,28961,0.000%,9.09244,4.62,3.68
LogarUsuario,270,16921,19571,28543,31183,31552,150,31578,0.370%,5.44410,2.24,3.51
PesquisarProdutosDisponiveis,270,1948,629,4163,7692,17134,147,22425,0.000%,5.29900,20.75,2.97
GetCarrinhoItens,1080,1968,572,1796,17743,27366,141,28429,0.185%,14.91733,10.10,8.94
Config,270,1165,235,1543,2014,19653,135,20588,0.000%,6.17665,4.03,3.32
AdicionarItemCarrinho,540,3703,962,18312,18685,21840,165,22791,0.926%,15.04597,21.37,10.45
GetQtdTitulosUsuario,810,461,315,837,954,1616,140,18071,0.370%,16.85639,5.36,9.32
GetStatusCarrinho,270,638,367,866,1294,1548,142,18034,0.000%,7.93581,2.48,4.37
BuscarDadosUsuario,540,447,340,836,1312,1483,145,2418,0.370%,13.34190,12.67,7.35
ObterFormasPagamentoDisponiveis,270,1217,1138,2508,2878,3339,160,5534,1.111%,7.78277,56.53,4.98
PagarCarrinho,270,7239,7144,13081,13642,14193,176,16159,1.852%,7.10526,5.55,7.71
GetDoacao,270,400,308,791,827,1099,143,1540,1.852%,7.51336,4.85,4.61
SetDoacao,270,412,319,745,806,955,141,1621,1.852%,7.46310,2.51,4.56
BuscarTitulosAgrupadosPorSerie,270,351,254,661,732,943,140,6073,0.370%,7.51168,4.28,4.72
GetTitulosNovos,270,360,278,631,804,1471,150,1820,0.370%,7.61636,73.96,4.40
Test,270,57383,57317,72292,72993,73592,39107,73951,3.704%,3.63886,121.94,48.78
TOTAL,6210,4989,582,18253,28492,71203,135,73951,0.692%,83.69159,243.87,97.55
