Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GerarToken ,270,11014,16774,22892,25372,25804,545,26333,0.000%,9.98299,5.07,4.04
LogarUsuario,270,12062,7201,27993,28462,28553,226,28567,1.852%,8.93625,7.26,5.77
PesquisarProdutosDisponiveis,270,1107,624,1855,5691,6239,143,25962,0.000%,8.83248,34.58,4.95
GetCarrinhoItens,1078,918,603,1443,2337,9236,139,9847,0.278%,25.24235,17.95,15.14
Config,270,344,214,705,750,1212,138,1298,0.000%,19.90563,12.99,10.71
AdicionarItemCarrinho,540,2116,1679,4686,5329,6265,191,8189,0.000%,23.93193,28.24,16.63
GetQtdTitulosUsuario,808,649,539,1210,1709,3215,139,9233,1.856%,18.99255,6.01,10.50
GetStatusCarrinho,270,720,575,1553,1878,2635,144,3162,0.000%,12.17093,3.80,6.70
BuscarDadosUsuario,539,596,329,1166,1531,2985,143,8316,1.855%,13.98003,13.14,7.70
ObterFormasPagamentoDisponiveis,270,1304,1058,3049,3226,3538,198,4459,1.852%,11.83432,83.45,7.57
CEP,270,715,713,1186,1399,1967,195,2295,0.000%,11.79194,5.01,6.63
PagarCarrinho (1 acesso),269,12747,12069,27074,28425,29704,370,29888,5.576%,7.74056,5.91,9.00
GetDoacao,269,486,212,1065,1667,2304,143,9379,5.948%,9.48720,6.95,5.83
SetDoacao,269,575,271,1276,1721,3224,139,9844,5.576%,9.55731,3.20,5.84
BuscarTitulosAgrupadosPorSerie,269,433,212,955,1264,1359,142,8681,1.859%,9.90208,5.53,6.23
GetTitulosNovos,269,469,278,985,1242,1852,146,8541,1.859%,10.17898,86.76,5.88
Test,269,53054,55576,61196,62054,62607,38378,62708,7.063%,4.25397,138.78,59.75
TOTAL,6469,4416,657,13091,27201,59645,138,62708,1.747%,102.29771,277.85,119.61
