Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,170,3727,777,10784,10856,10930,544,10972,0.000%,14.75182,7.49,5.96
PesquisarProdutosDisponiveis,170,1888,618,6966,6974,10590,136,10621,0.000%,14.82386,58.00,8.31
GetCarrinhoItens,680,1608,200,7962,10588,17229,139,17263,0.147%,17.53255,6.88,10.51
Config,170,1164,156,664,2290,17144,137,17185,0.000%,5.87707,3.83,3.16
LogarUsuario,170,9479,555,26639,26699,26755,144,26756,3.529%,5.12033,6.48,3.29
GetQtdTitulosUsuario,510,1630,189,640,14556,26703,139,26761,3.529%,14.23984,4.48,7.87
BuscarDadosUsuario,340,901,191,640,978,23757,141,26617,3.529%,10.03690,9.31,5.53
BuscarTitulosAgrupadosPorSerie,170,205,202,244,252,346,145,606,3.529%,10.62434,6.02,6.68
GetTitulosNovos,170,283,242,357,657,769,157,887,3.529%,10.37978,94.14,6.00
Test,170,29874,30024,38751,38890,39167,22997,39547,4.118%,4.27071,86.88,36.35
TOTAL,2720,3734,217,17082,26639,38651,136,39547,2.059%,68.33141,173.76,72.69
