Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GerarToken ,270,5518,1035,18925,19336,19826,558,21256,0.000%,12.69274,6.45,5.13
PesquisarProdutosDisponiveis,270,2049,715,10762,10808,10841,136,49639,0.000%,5.35162,20.95,3.00
GetCarrinhoItens,1080,4912,312,13086,47929,48192,141,48610,1.019%,19.58331,12.30,11.74
Config,270,595,590,715,1046,3435,137,10810,0.000%,5.30577,3.46,2.85
LogarUsuario,270,301,212,401,416,684,145,12177,0.000%,6.52331,2.03,4.19
GetQtdTitulosUsuario,810,622,228,684,1129,13052,140,13100,0.000%,18.00240,5.73,9.95
BuscarDadosUsuario,540,1109,267,1037,10299,13081,142,13101,0.000%,12.61240,12.02,6.95
BuscarTitulosAgrupadosPorSerie,270,482,309,660,760,6242,149,6420,0.000%,6.38479,3.65,4.02
GetTitulosNovos,270,942,430,1317,6370,6851,148,7381,0.000%,6.36267,55.05,3.68
Test,270,33623,30763,55412,55969,56177,13428,56357,4.074%,4.78003,95.51,40.68
TOTAL,4320,4202,324,14004,30028,55126,136,56357,0.509%,76.48048,191.03,81.36
