Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,270,4670,3505,9734,9980,10305,555,10649,0.000%,23.39485,11.88,9.46
PesquisarProdutosDisponiveis,270,2498,679,8942,10154,31965,136,31970,0.000%,8.17290,31.99,4.58
GetCarrinhoItens,1080,4258,277,19909,23794,31762,140,31969,0.556%,17.94288,9.02,10.76
Config,270,2142,644,7426,10527,19903,136,19909,0.000%,9.25355,6.04,4.98
LogarUsuario,270,2091,252,8381,10709,20167,145,20190,3.704%,9.39490,12.34,6.04
GetQtdTitulosUsuario,810,489,224,675,909,1294,140,23789,3.704%,16.41171,5.16,9.07
BuscarDadosUsuario,540,1652,244,3179,17697,23780,141,23793,3.704%,11.29683,10.46,6.22
BuscarTitulosAgrupadosPorSerie,270,1523,288,956,989,23799,145,23802,3.704%,6.96576,3.89,4.38
GetTitulosNovos,270,548,362,987,1007,1181,160,23566,3.704%,7.02631,65.98,4.06
Test,270,35283,31887,59370,59587,59987,20835,60077,5.926%,4.41487,93.34,37.57
TOTAL,4320,4410,310,19903,24877,59060,136,60077,2.361%,70.63556,186.67,75.15
