Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,170,1704,1102,5532,5810,7409,554,7836,0.000%,20.85890,10.59,8.43
PesquisarProdutosDisponiveis,170,1688,589,5292,6917,25434,137,26258,0.000%,6.13984,24.03,3.44
GetCarrinhoItens,680,4758,201,25214,37316,37745,139,37870,0.882%,6.36472,3.76,3.82
Config,170,1818,600,1606,6817,25999,139,75774,0.588%,1.64643,1.09,0.88
LogarUsuario,170,692,190,2388,3254,7432,148,8253,0.000%,1.63071,0.51,1.05
GetQtdTitulosUsuario,510,393,179,670,1107,3210,141,26239,0.000%,4.82557,1.54,2.67
BuscarDadosUsuario,340,312,177,713,978,1991,141,1998,0.000%,3.42404,3.26,1.89
BuscarTitulosAgrupadosPorSerie,170,278,187,576,891,1205,144,1214,0.000%,1.76653,1.02,1.11
GetTitulosNovos,170,474,294,899,1080,1675,159,1905,0.000%,1.76662,18.37,1.02
Test,170,27495,30601,43691,44196,45445,11452,106767,3.529%,1.57597,34.04,13.41
TOTAL,2720,3436,217,8434,30526,43491,137,106767,0.478%,25.21507,68.07,26.82
