Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GerarToken ,170,3352,901,8380,8500,8789,544,8823,0.000%,18.21298,9.25,7.36
PesquisarProdutosDisponiveis,170,1703,568,673,8336,26780,134,26945,0.000%,6.18970,24.22,3.47
GetCarrinhoItens,680,2877,289,10852,27812,28004,139,28145,0.735%,19.36936,10.68,11.61
Config,170,1243,625,1227,8597,12264,136,12303,0.000%,5.74247,3.75,3.09
LogarUsuario,170,1936,213,7978,12270,18334,145,18339,0.000%,5.71890,1.78,3.68
GetQtdTitulosUsuario,510,1316,196,1221,7935,18248,138,18418,0.000%,14.68217,4.67,8.12
BuscarDadosUsuario,340,1707,194,7962,10850,18300,140,18310,0.000%,10.73436,10.23,5.91
BuscarTitulosAgrupadosPorSerie,170,372,297,656,713,878,142,910,0.000%,5.37278,3.11,3.38
GetTitulosNovos,170,463,354,861,914,1589,156,1831,0.000%,5.38503,55.99,3.11
Test,170,27949,27294,33803,34631,35593,2964,35836,2.941%,4.70250,100.76,40.02
TOTAL,2720,3493,320,12267,26906,33619,134,35836,0.368%,75.23997,201.52,80.04
