/GerarToken ,170,71548,76405,82039,82178,82490,730,82659,0.000%,2.05237,2.08,0.68
https://lottocap-hml-server01-front.azurewebsites.net/,170,24921,26799,32754,34913,41799,4525,46637,0.000%,1.50719,4037.82,4.97
PesquisarProdutosDisponiveis,170,5360,3633,9618,12081,45844,559,46778,0.000%,1.19964,5.34,0.47
Carrinho/GetCarrinhoItens,170,27057,37281,59436,59442,59445,145,59449,11.176%,1.37795,1.16,0.83
Config,170,1759,612,5526,8801,18822,143,30478,0.000%,1.67259,1.09,0.85
BuscarDezenas,340,27051,24749,57412,83028,83327,150,83563,32.059%,1.77574,28.04,1.08
AdicionarItemCarrinhoPreVenda,170,19948,17285,40262,43940,77321,150,78913,11.176%,.80167,1.47,0.55
GetCarrinhoItens,170,1683,832,2719,4158,8801,156,53372,11.176%,.79907,1.46,0.48
Test,170,206383,236342,286095,286700,287348,74335,287636,52.941%,.59087,1607.89,4.51
TOTAL,1700,41276,18138,83178,236342,286095,143,287636,15.059%,5.90848,3215.69,9.02
