Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
/GerarToken ,100,66995,68718,70449,70566,70691,47348,70761,0.000%,1.41211,1.49,0.47
/api/Usuario/LogarUsuario,100,21905,11734,67135,67306,67597,793,67759,3.000%,1.09861,0.97,0.71
/api/Produto/BuscarDezenas,400,17584,7121,47824,63196,63380,160,71129,10.750%,1.88840,35.35,1.15
/api/Carrinho/AdicionarItemCarrinhoPreVenda,200,15243,9078,38849,43941,75594,151,83789,12.500%,.84142,4.16,0.58
/api/Carrinho/GetCarrinhoItens,200,4597,1234,15124,19064,34402,169,34586,6.000%,.83909,3.27,0.50
/api/Carrinho/GetStatusCarrinho,400,5857,3589,14326,19867,24360,148,34868,4.250%,1.65614,4.19,0.86
/api/Pagamento/ObterFormasPagamentoDisponiveis,400,2255,1329,3607,7263,20064,139,35152,16.000%,1.65026,12.56,1.06
/api/Produto/PesquisarProdutosDisponiveis,100,2574,828,8200,9885,15351,136,16750,47.000%,.46006,1.10,0.18
/api/Carrinho/AdicionarItemCarrinho,200,4323,1938,6384,30238,30557,199,30621,3.000%,.94534,3.28,0.66
/api/Produto/ExibirDezenas/22006,100,870,713,1497,1615,1952,176,4962,3.000%,.44564,1.10,0.23
Test,100,243466,197109,312771,313368,313622,84196,313643,50.000%,.31830,46.74,4.12
TOTAL,2300,21171,3526,63220,70511,307469,136,313643,11.739%,7.32071,93.49,8.24
